1,5,6; 2,6,4; 3,4,5; + sum = 15; 123564
1,6,5; 3,5,4; 2,4,6; + sum = 15; 132654
1,4,6; 3,6,2; 5,2,4; + sum = 12; 135462
1,6,4; 5,4,2; 3,2,6; + sum = 12; 153642
2,4,6; 1,6,5; 3,5,4; + sum = 15; 213465
2,6,4; 3,4,5; 1,5,6; + sum = 15; 231645
2,3,5; 4,5,1; 6,1,3; + sum = 9;  246351
2,5,3; 6,3,1; 4,1,5; + sum = 9;  264531
3,4,5; 1,5,6; 2,6,4; + sum = 15; 312456
3,2,6; 1,6,4; 5,4,2; + sum = 12; 315264
3,5,4; 2,4,6; 1,6,5; + sum = 15; 321546
3,6,2; 5,2,4; 1,4,6; + sum = 12; 351624
4,1,5; 2,5,3; 6,3,1; + sum = 9;  426153
4,2,3; 5,3,1; 6,1,2; + sum = 6;  456231
4,5,1; 6,1,3; 2,3,5; + sum = 9;  462513
4,3,2; 6,2,1; 5,1,3; + sum = 6;  465321
5,2,4; 1,4,6; 3,6,2; + sum = 12; 513246
5,4,2; 3,2,6; 1,6,4; + sum = 12; 531426
5,1,3; 4,3,2; 6,2,1; + sum = 6;  546132
5,3,1; 6,1,2; 4,2,3; + sum = 6;  564312
6,1,3; 2,3,5; 4,5,1; + sum = 9;  624135
6,3,1; 4,1,5; 2,5,3; + sum = 9;  642315
6,1,2; 4,2,3; 5,3,1; + sum = 6;  645123
6,2,1; 5,1,3; 4,3,2; + sum = 6;  654213
