1,2,3,4,5,6,7,12,  8,9,10,11,13,14,15,16,  96
1,2,3,4,5,6,8,11,  7,9,10,12,13,14,15,16,  96
1,2,3,4,5,6,9,10,  7,8,11,12,13,14,15,16,  96
1,2,3,4,5,6,11,16,  7,8,9,10,12,13,14,15,  88
1,2,3,4,5,6,12,15,  7,8,9,10,11,13,14,16,  88
1,2,3,4,5,6,13,14,  7,8,9,10,11,12,15,16,  88
1,2,3,4,5,7,8,10,  6,9,11,12,13,14,15,16,  96
1,2,3,4,5,7,10,16,  6,8,9,11,12,13,14,15,  88
1,2,3,4,5,7,11,15,  6,8,9,10,12,13,14,16,  88
1,2,3,4,5,7,12,14,  6,8,9,10,11,13,15,16,  88
1,2,3,4,5,8,9,16,  6,7,10,11,12,13,14,15,  88
1,2,3,4,5,8,10,15,  6,7,9,11,12,13,14,16,  88
1,2,3,4,5,8,11,14,  6,7,9,10,12,13,15,16,  88
1,2,3,4,5,8,12,13,  6,7,9,10,11,14,15,16,  88
1,2,3,4,5,9,10,14,  6,7,8,11,12,13,15,16,  88
1,2,3,4,5,9,11,13,  6,7,8,10,12,14,15,16,  88
1,2,3,4,5,10,11,12,  6,7,8,9,13,14,15,16,  88
1,2,3,4,5,10,15,16,  6,7,8,9,11,12,13,14,  80
1,2,3,4,5,11,14,16,  6,7,8,9,10,12,13,15,  80
1,2,3,4,5,12,13,16,  6,7,8,9,10,11,14,15,  80
1,2,3,4,5,12,14,15,  6,7,8,9,10,11,13,16,  80
1,2,3,4,6,7,8,9,  5,10,11,12,13,14,15,16,  96
1,2,3,4,6,7,9,16,  5,8,10,11,12,13,14,15,  88
1,2,3,4,6,7,10,15,  5,8,9,11,12,13,14,16,  88
1,2,3,4,6,7,11,14,  5,8,9,10,12,13,15,16,  88
1,2,3,4,6,7,12,13,  5,8,9,10,11,14,15,16,  88
1,2,3,4,6,8,9,15,  5,7,10,11,12,13,14,16,  88
1,2,3,4,6,8,10,14,  5,7,9,11,12,13,15,16,  88
1,2,3,4,6,8,11,13,  5,7,9,10,12,14,15,16,  88
1,2,3,4,6,9,10,13,  5,7,8,11,12,14,15,16,  88
1,2,3,4,6,9,11,12,  5,7,8,10,13,14,15,16,  88
1,2,3,4,6,9,15,16,  5,7,8,10,11,12,13,14,  80
1,2,3,4,6,10,14,16,  5,7,8,9,11,12,13,15,  80
1,2,3,4,6,11,13,16,  5,7,8,9,10,12,14,15,  80
